,Document,AnswerType,Label,Value
0,0,Gold,ORG,Kendriya Vidyalaya
1,0,Gold,ORG,Woodbine modern school
2,0,Gold,ORG,B.v.b college of engineering and technology
3,0,Gold,ORG,Accenture
4,0,Gold,LOC,Bengaluru
5,0,Gold,ORG,Accenture
6,0,Gold,PER,Abhishek Jha
7,1,Gold,ORG,Shivaji University Kolhapur 
8,1,Gold,ORG,CDAC ACTS
9,1,Gold,LOC,Sangli
10,1,Gold,PER,Afreen Jamadar
11,2,Gold,ORG,Anurag College of Engineering (Jntuh)
12,2,Gold,LOC,Hyderabad
13,2,Gold,ORG,Infosys Limited
14,2,Gold,LOC,Hyderabad
15,2,Gold,ORG,Infosys Limited
16,2,Gold,LOC,Hyderabad
17,2,Gold,PER,Akhil Yadav Polemaina
18,3,Gold,ORG,Indira Gandhi Institute Of Technology
19,3,Gold,ORG,B.Tech in Computer Science and Engineering in CSE
20,3,Gold,LOC,Bengaluru
21,3,Gold,LOC,Bengaluru
22,3,Gold,ORG,UNISYS
23,3,Gold,LOC,Bengaluru
24,3,Gold,LOC,Bengaluru
25,3,Gold,ORG,UNISYS
26,3,Gold,PER,Alok Khandai
27,4,Gold,LOC,Mumbai
28,4,Gold,ORG,Mumbai University
29,4,Gold,ORG,Mumbai University
30,4,Gold,LOC,Mumbai
31,4,Gold,LOC,Mumbai
32,4,Gold,ORG, oracle tutorials
33,4,Gold,PER,Ananya Chavan
34,5,Gold,LOC,Bengaluru
35,5,Gold,ORG,M S Ramaiah Institute of Technology
36,5,Gold,ORG,Arizona State University
37,5,Gold,LOC,Bengaluru
38,5,Gold,ORG,SAP Labs
39,5,Gold,LOC,Bengaluru
40,5,Gold,ORG,SAP Labs
41,5,Gold,PER,Anvitha Rao
42,6,Gold,ORG,College Bangalore University
43,6,Gold,ORG,sikkim manipal university 
44,6,Gold,ORG,Infosys
45,6,Gold,ORG,oracle
46,6,Gold,ORG,Infosys
47,6,Gold,ORG,Infosys
48,6,Gold,ORG,Infosys
49,6,Gold,ORG,Infosys
50,6,Gold,LOC,Bangalore City
51,6,Gold,ORG,oracle India Limited
52,6,Gold,ORG,oracle
53,6,Gold,PER,arjun ks
54,7,Gold,LOC,Chennai
55,7,Gold,ORG,Sri Venkateswara College Of Engineering
56,7,Gold,ORG,"
Accenture"
57,7,Gold,LOC,Chennai
58,7,Gold,PER,Arun Elumalai
59,8,Gold,ORG,Government girls High school 
60,8,Gold,ORG,"Science College, Hinjilicut"
61,8,Gold,ORG,Berhampur university
62,8,Gold,ORG,Khallikote Autonomous college
63,9,Gold,ORG,Jawaharlal Nehru Technology University
64,9,Gold,ORG,Microsoft
65,9,Gold,ORG,Microsoft
66,9,Gold,ORG,Microsoft
67,9,Gold,PER,Ashok Kunam
68,10,Gold,ORG,Khallikote autonomous college
69,10,Gold,ORG,Berhampur university
70,10,Gold,ORG,Accenture
71,10,Gold,LOC,"indeed.com/r/Asish-Ratha/853988e0e0e236a3
"
72,10,Gold,LOC,Chennai
73,10,Gold,ORG,Accenture
74,10,Gold,PER,Asish Ratha
75,11,Gold,ORG,Great Lakes Institute of Management
76,11,Gold,ORG,Infosys Limited
77,11,Gold,ORG,Infosys Limited
78,11,Gold,LOC,Hyderabad
79,11,Gold,ORG,Infosys Limited
80,11,Gold,PER,Avin Sharma
81,12,Gold,LOC,Bangalore
82,12,Gold,ORG,Sindhi High School 
83,12,Gold,LOC,Bangalore
84,12,Gold,ORG,Pre University Education
85,12,Gold,LOC,Bangalore
86,12,Gold,ORG,Atria Institute of Technology
87,12,Gold,ORG,Oracle
88,12,Gold,ORG,Oracle
89,12,Gold,LOC,Bangalore
90,12,Gold,ORG,Oracle
91,12,Gold,LOC,Bangalore
92,12,Gold,ORG,Oracle
93,12,Gold,PER,Ayesha B
94,13,Gold,ORG,"Sumermal Jain Public School
"
95,13,Gold,ORG,"HMR Institute of Technology and Management in Electronics and Communication
"
96,13,Gold,ORG,Cisco -
97,13,Gold,LOC,New Delhi
98,13,Gold,PER,Ayushi Srivastava
99,14,Gold,ORG,R.D.H.S. School
100,14,Gold,ORG,R.D.H.S. School
101,14,Gold,ORG,Government Science College
102,14,Gold,ORG,Oracle Clinical
103,14,Gold,LOC,Pune
104,14,Gold,LOC,Pune
105,14,Gold,PER,Bhawana Daf
106,15,Gold,ORG,Oracle
107,15,Gold,ORG,Adhichunchanagiri Institute Of Technology
108,15,Gold,ORG,Accenture 
109,15,Gold,ORG,Oracle
110,15,Gold,LOC,"indeed.com/r/Darshan-G/025a61a82c6a8c5a
"
111,15,Gold,LOC,Bengaluru
112,15,Gold,ORG,Oracle
113,15,Gold,PER,Darshan G.
114,16,Gold,LOC,Chennai
115,16,Gold,ORG,Sri Venkateshwara College of Engineering
116,16,Gold,LOC,Chennai
117,16,Gold,LOC,Chennai
118,16,Gold,LOC,Chennai
119,16,Gold,LOC,Chennai
120,16,Gold,LOC,Chennai
121,16,Gold,ORG,"Infosys Limited
"
122,16,Gold,PER,Dhanushkodi Raj
123,17,Gold,ORG,Sri Venkateswara university tirupati
124,17,Gold,ORG,cisco
125,17,Gold,LOC,Bangalore
126,17,Gold,ORG,Cisco
127,17,Gold,ORG,cisco
128,17,Gold,LOC,Bangalore
129,17,Gold,LOC,Bangalore
